MTV点歌140,#genre#
张津涤-蝉鸟,http://em.21dtv.com/songs/60135215.mkv
海哲明-承诺,http://em.21dtv.com/songs/60119771.mkv
徐红光-承诺,http://em.21dtv.com/songs/60116834.mkv
梦彤-承诺,http://em.21dtv.com/songs/60115250.mkv
薛启超-吹牛,http://em.21dtv.com/songs/60114037.mkv
汪峰-春泥,http://em.21dtv.com/songs/60113782.mkv
汪峰-春泥,http://em.21dtv.com/songs/60112823.mkv
马汝珑-宠溺,http://em.21dtv.com/songs/60109033.mkv
王浩-承诺,http://em.21dtv.com/songs/60103453.mkv
富龙-承诺,http://em.21dtv.com/songs/60103219.mkv
茶少-茶女,http://em.21dtv.com/songs/60102674.mkv
乱弹阿翔-承诺,http://em.21dtv.com/songs/60096172.mkv
杨宗华+周君-承诺,http://em.21dtv.com/songs/60082723.mkv
唯嘉-承诺,http://em.21dtv.com/songs/60082006.mkv
袁姗姗-承诺,http://em.21dtv.com/songs/60074936.mkv
三百整-承诺,http://em.21dtv.com/songs/60074935.mkv
陈翔-承诺,http://em.21dtv.com/songs/60074934.mkv
黄韵玲-承诺,http://em.21dtv.com/songs/60070588.mkv
黄瑛-丑娘,http://em.21dtv.com/songs/60069308.mkv
左小祖咒-吹牛,http://em.21dtv.com/songs/60066925.mkv
张芸京-春泥,http://em.21dtv.com/songs/60063419.mkv
孙楠-承诺,http://em.21dtv.com/songs/60062957.mkv
陈随意-厝内,http://em.21dtv.com/songs/60013626.mkv
F.I.R-刺鸟,http://em.21dtv.com/songs/60013461.mkv
庾澄庆-春泥,http://em.21dtv.com/songs/60013293.mkv
左炜-船娘,http://em.21dtv.com/songs/60013157.mkv
郑秀文-承诺,http://em.21dtv.com/songs/60012601.mkv
张智霖-承诺,http://em.21dtv.com/songs/60012600.mkv
张峰奇-承诺,http://em.21dtv.com/songs/60012599.mkv
辛晓琪-承诺,http://em.21dtv.com/songs/60012598.mkv
群星-承诺,http://em.21dtv.com/songs/60012597.mkv
满文军-承诺,http://em.21dtv.com/songs/60012596.mkv
黄海+潘潘声-承诺,http://em.21dtv.com/songs/60012595.mkv
肖阳-承诺(演唱会),http://em.21dtv.com/songs/60012594.mkv
群星-承诺(演唱会),http://em.21dtv.com/songs/60012593.mkv
谢金燕-沉溺(无原唱),http://em.21dtv.com/songs/60012518.mkv
周渝民-残念,http://em.21dtv.com/songs/60012003.mkv
张信哲-残念,http://em.21dtv.com/songs/60012002.mkv
官恩娜-残念,http://em.21dtv.com/songs/60012001.mkv
AT17-才女(演唱会),http://em.21dtv.com/songs/60011885.mkv
night,http://em.21dtv.com/songs/60000915.mkv
nobody,http://em.21dtv.com/songs/60000835.mkv
舒浩-沉默,http://em.21dtv.com/songs/60132823.mkv
简弘亦-出卖,http://em.21dtv.com/songs/60128288.mkv
黄耀明-残梦,http://em.21dtv.com/songs/60124755.mkv
李荣浩-出卖,http://em.21dtv.com/songs/60121783.mkv
